method,vector
"|java+method:///smallsql/database/StoreNull/scanObjectOffsets(int%5B%5D,int%5B%5D)|","[1,1,0,2,0,1]"
"|java+constructor:///smallsql/database/IndexNodeScrollStatus/IndexNodeScrollStatus(smallsql.database.IndexNode,boolean,boolean,int)|","[7,6,1,4,5,1]"
|java+method:///smallsql/database/ExpressionFunctionDifference/isNull()|,"[3,2,1,1,0,1]"
|java+method:///smallsql/database/SQLParser/execute()|,"[4,2,2,1,0,1]"
|java+method:///smallsql/database/ExpressionFunctionConvert/isNull()|,"[3,2,1,1,0,1]"
|java+method:///smallsql/database/SSDatabaseMetaData/supportsCorrelatedSubqueries()|,"[3,2,1,1,0,1]"
|java+method:///smallsql/junit/TestExceptions/suite()|,"[7,5,2,1,1,2]"
|java+method:///smallsql/database/Expression/getObject()|,"[1,1,0,1,0,0]"
|java+method:///smallsql/database/Distinct/beforeFirst()|,"[4,3,1,1,1,1]"
"|java+method:///smallsql/database/StoreNull/getString(int,int)|","[3,2,1,2,0,1]"
|java+method:///smallsql/database/MemoryStream/writeChars(char%5B%5D)|,"[8,6,2,1,3,2]"
"|java+method:///smallsql/database/SQLParser/expressionSingle(smallsql.database.Command,smallsql.database.SQLToken)|","[125,98,27,2,24,21]"
|java+method:///smallsql/database/ExpressionFunctionUCase/getFunction()|,"[3,2,1,1,0,1]"
|java+method:///smallsql/database/SSResultSet/getTime(java.lang.String)|,"[3,2,1,1,0,1]"
|java+method:///smallsql/database/Where/last()|,"[4,3,1,1,0,2]"
"|java+method:///smallsql/database/SSStatement/executeUpdate(java.lang.String,int%5B%5D)|","[4,3,1,2,0,1]"
"|java+method:///smallsql/database/StoreNull/getDouble(int,int)|","[3,2,1,2,0,1]"
"|java+method:///smallsql/database/SSResultSet/updateAsciiStream(java.lang.String,java.io.InputStream,int)|","[3,2,1,3,0,1]"
|java+method:///smallsql/database/SSResultSet/getArray(int)|,"[4,1,3,1,0,1]"
|java+method:///smallsql/database/MutableInteger/longValue()|,"[3,2,1,1,0,1]"
|java+method:///smallsql/database/Table/write(smallsql.database.SSConnection)|,"[31,21,10,1,8,3]"
|java+method:///smallsql/database/RowSource/getRow()|,"[1,1,0,1,0,0]"
|java+method:///smallsql/database/SSDatabaseMetaData/nullsAreSortedAtEnd()|,"[3,2,1,1,0,1]"
|java+method:///smallsql/database/UnionAll/getFloat(int)|,"[3,2,1,1,0,1]"
|java+method:///smallsql/database/DataSource/getInt(int)|,"[1,1,0,1,0,0]"
|java+method:///smallsql/database/SSStatement/setNeedGeneratedKeys(int%5B%5D)|,"[4,3,1,1,3,1]"
|java+method:///smallsql/database/MemoryResult/deleteRow()|,"[3,2,1,1,0,1]"
|java+method:///smallsql/database/SSResultSet/getInt(java.lang.String)|,"[3,2,1,1,0,1]"
"|java+constructor:///smallsql/database/JoinScrollIndex/JoinScrollIndex(int,smallsql.database.RowSource,smallsql.database.RowSource,smallsql.database.Expressions,smallsql.database.Expressions,int)|","[8,7,1,6,3,1]"
"|java+method:///smallsql/database/SSResultSet/updateBoolean(java.lang.String,boolean)|","[3,2,1,2,0,1]"
"|java+method:///smallsql/database/Database/createTable(smallsql.database.SSConnection,java.lang.String,smallsql.database.Columns,smallsql.database.IndexDescriptions,smallsql.database.IndexDescriptions,smallsql.database.ForeignKeys)|","[11,6,5,6,1,2]"
|java+method:///smallsql/database/SQLParser/nextIdentifier()|,"[8,2,6,1,0,1]"
|java+method:///smallsql/database/SQLParser/alter()|,"[24,17,7,1,5,4]"
|java+method:///smallsql/junit/BenchTest/test_UpdateLargeBinary(java.sql.Connection)|,"[33,25,8,1,76,5]"
|java+method:///smallsql/database/Column/setDataType(int)|,"[3,2,1,1,1,1]"
|java+method:///smallsql/database/TableResult/getString(int)|,"[4,3,1,1,0,1]"
|java+method:///smallsql/database/language/Language/getSqlState(java.lang.String)|,"[5,4,1,1,2,1]"
|java+method:///smallsql/database/SSDatabaseMetaData/getExtraNameCharacters()|,"[3,2,1,1,0,1]"
|java+method:///smallsql/database/ExpressionName/getPrecision()|,"[3,2,1,1,0,1]"
"|java+constructor:///smallsql/database/ExpressionValue/ExpressionValue(java.lang.Object,int)|","[8,4,4,2,2,1]"
|java+method:///smallsql/database/ExpressionFunctionChar/getString()|,"[5,4,1,1,1,1]"
"|java+method:///smallsql/database/ExpressionArithmetic/convertExpressionIfNeeded(smallsql.database.Expression,smallsql.database.Expression)|","[31,26,5,2,1,6]"
|java+method:///smallsql/database/MutableNumeric/toBigDecimal()|,"[4,3,1,1,0,1]"
"|java+method:///smallsql/database/SSResultSet/updateDouble(java.lang.String,double)|","[3,2,1,2,0,1]"
|java+method:///smallsql/database/DateTime/isLeapYear(int)|,"[6,2,4,1,0,1]"
|java+method:///smallsql/database/TableResult/getDouble(int)|,"[4,3,1,1,0,1]"
|java+method:///smallsql/database/ExpressionFunction/getBytes()|,"[3,2,1,1,0,1]"
|java+method:///smallsql/database/DateTime/calcMillis(smallsql.database.DateTime.Details)|,"[3,2,1,1,0,1]"
|java+method:///smallsql/database/SSCallableStatement/getBytes(int)|,"[9,7,2,1,4,3]"
|java+method:///smallsql/database/SortedResult/rowDeleted()|,"[3,2,1,1,0,1]"
|java+method:///smallsql/database/Scrollable/isFirst()|,"[3,2,1,1,0,1]"
|java+method:///smallsql/junit/TestGroupBy/testComplex()|,"[12,10,2,1,3,2]"
|java+method:///smallsql/database/SmallSQLException/stripMsg(java.lang.Throwable)|,"[15,9,6,1,4,2]"
"|java+method:///smallsql/database/SSResultSet/updateBlob(int,java.sql.Blob)|","[4,1,3,2,0,1]"
|java+method:///smallsql/database/CommandSelect/last()|,"[13,7,6,1,0,3]"
|java+method:///smallsql/database/SSDatabaseMetaData/getCatalogTerm()|,"[3,2,1,1,0,1]"
|java+method:///smallsql/database/ViewResult/getDataType(int)|,"[3,2,1,1,0,1]"
|java+method:///smallsql/database/ExpressionFunctionReturnFloat/getString()|,"[5,4,1,1,1,1]"
"|java+method:///smallsql/database/SSResultSet/updateFloat(java.lang.String,float)|","[3,2,1,2,0,1]"
|java+method:///smallsql/database/SQLParser/setTransaction()|,"[32,27,5,1,10,3]"
"|java+method:///smallsql/database/SSResultSet/updateShort(java.lang.String,short)|","[3,2,1,2,0,1]"
|java+method:///smallsql/database/NoFromResult/getRowPosition()|,"[3,2,1,1,0,1]"
|java+method:///smallsql/database/ExpressionFunctionTimestampAdd/getLong()|,"[34,28,6,1,6,6]"
|java+method:///smallsql/database/ExpressionFunctionConvert/getBoolean()|,"[3,2,1,1,0,1]"
|java+method:///smallsql/database/SSConnection/getCatalog()|,"[5,4,1,1,0,1]"
"|java+method:///smallsql/database/SSPreparedStatement/setInt(int,int)|","[4,3,1,2,0,1]"
|java+method:///smallsql/junit/TestDBMetaData/testGetCrossReference()|,"[31,24,7,1,8,3]"
|java+method:///smallsql/database/SSResultSet/getURL(java.lang.String)|,"[3,2,1,1,0,1]"
|java+method:///smallsql/database/ExpressionFunctionATan2/isNull()|,"[3,2,1,1,0,1]"
|java+method:///smallsql/database/ExpressionFunctionFloor/getDouble()|,"[3,2,1,1,0,1]"
|java+method:///smallsql/database/ExpressionFunctionFloor/getString()|,"[5,4,1,1,1,1]"
"|java+method:///smallsql/database/StorePageMap/add(long,smallsql.database.TableStorePage)|","[14,6,8,2,2,1]"
"|java+method:///smallsql/database/SSResultSet/updateAsciiStream(int,java.io.InputStream,int)|","[3,2,1,3,0,1]"
"|java+method:///smallsql/database/SSPreparedStatement/setObject(int,java.lang.Object)|","[4,3,1,2,0,1]"
|java+method:///smallsql/database/SortedResult/nullRow()|,"[5,3,2,1,1,1]"
|java+method:///smallsql/database/SSResultSetMetaData/getColumnCount()|,"[3,2,1,1,0,1]"
|java+method:///smallsql/junit/TestTokenizer/setUp()|,"[9,7,2,1,4,2]"
|java+method:///smallsql/database/SSConnection/prepareStatement(java.lang.String)|,"[3,2,1,1,0,1]"
|java+method:///smallsql/database/SQLParser/create()|,"[27,24,3,1,4,4]"
|java+method:///smallsql/database/SQLParser/select()|,"[33,26,7,1,9,5]"
|java+method:///smallsql/junit/TestOther/testDistinct()|,"[20,17,3,1,1,3]"
|java+method:///smallsql/database/NoFromResult/isExpressionsFromThisRowSource(smallsql.database.Expressions)|,"[7,2,5,1,0,1]"
|java+method:///smallsql/database/ExpressionValue/getPrecision()|,"[12,10,2,1,0,2]"
"|java+constructor:///smallsql/database/TableView/TableView(java.lang.String,smallsql.database.Columns)|","[4,3,1,2,2,1]"
|java+constructor:///smallsql/junit/BasicTestCase/BasicTestCase(java.lang.String)|,"[3,2,1,1,0,1]"
|java+method:///smallsql/database/MutableNumeric/toString()|,"[29,22,7,1,3,8]"
|java+method:///smallsql/database/SmallSQLException/create(java.lang.String)|,"[7,5,2,1,3,1]"
|java+method:///smallsql/junit/TestOther/testSetTransaction()|,"[19,13,6,1,1,3]"
"|java+method:///smallsql/database/SSPreparedStatement/setString(int,java.lang.String)|","[4,3,1,2,0,1]"
"|java+method:///smallsql/database/SQLParser/expression(smallsql.database.Command,int)|","[99,86,13,2,26,9]"
|java+method:///smallsql/database/SSStatement/getConnection()|,"[3,2,1,1,0,1]"
|java+method:///smallsql/database/IndexScrollStatus/afterLast()|,"[9,4,5,1,1,1]"
"|java+method:///smallsql/database/SSResultSet/updateTime(int,java.sql.Time)|","[3,2,1,2,0,1]"
|java+method:///smallsql/junit/TestDBMetaData/testGetTableTypes()|,"[17,15,2,1,9,4]"
|java+method:///smallsql/database/ExpressionFunctionHour/getInt()|,"[5,4,1,1,1,1]"
|java+method:///smallsql/database/SSDatabaseMetaData/supportsMinimumSQLGrammar()|,"[3,2,1,1,0,1]"
|java+method:///smallsql/junit/TestGroupBy/testMinOfNull()|,"[4,3,1,1,0,1]"
|java+method:///smallsql/junit/BenchTest/main(java.lang.String%5B%5D)|,"[48,42,6,1,6,8]"
|java+method:///smallsql/database/Expression/optimize()|,"[12,4,8,1,0,3]"
|java+method:///smallsql/junit/TestGroupBy/testFirst2()|,"[4,3,1,1,0,1]"
|java+method:///smallsql/database/SSDatabaseMetaData/getSchemaTerm()|,"[3,2,1,1,0,1]"
|java+method:///smallsql/database/MemoryResult/getBoolean(int)|,"[3,2,1,1,0,1]"
|java+method:///smallsql/database/ViewResult/updateRow(smallsql.database.Expression%5B%5D)|,"[3,2,1,1,0,1]"
"|java+method:///smallsql/database/Column/initAutoIncrement(java.nio.channels.FileChannel,long)|","[7,5,2,2,2,2]"
"|java+method:///smallsql/database/SSDatabaseMetaData/supportsConvert(int,int)|","[3,2,1,2,0,1]"
|java+method:///smallsql/database/ExpressionFunctionPower/getFunction()|,"[1,1,0,1,0,1]"
|java+method:///smallsql/database/MutableNumeric/equals(java.lang.Object)|,"[4,3,1,1,0,1]"
"|java+method:///smallsql/database/SSResultSet/updateInt(java.lang.String,int)|","[3,2,1,2,0,1]"
|java+method:///smallsql/database/MemoryStream/writeTo(java.nio.channels.FileChannel)|,"[4,3,1,1,1,1]"
|java+method:///smallsql/database/Expressions/get(int)|,"[5,4,1,1,0,1]"
|java+method:///smallsql/database/CommandSelect/previous()|,"[6,2,4,1,0,1]"
"|java+method:///smallsql/database/SSResultSet/updateObject(int,java.lang.Object,int)|","[4,2,2,3,0,1]"
|java+method:///smallsql/database/IndexNode/clearValue()|,"[3,2,1,1,1,1]"
|java+method:///smallsql/junit/TestTransactions/testCommitWithOneCommitRow()|,"[29,19,10,1,1,5]"
|java+method:///smallsql/database/SQLParser/createProcedure()|,"[5,3,2,1,1,2]"
|java+method:///smallsql/database/SSDatabaseMetaData/nullPlusNonNullIsNull()|,"[3,2,1,1,0,1]"
"|java+method:///smallsql/database/SSResultSet/getBigDecimal(java.lang.String,int)|","[3,2,1,2,0,1]"
|java+constructor:///smallsql/database/language/Language/Language()|,"[10,5,5,1,2,1]"
|java+method:///smallsql/database/JoinScrollIndex/createIndex(smallsql.database.Expressions)|,"[7,5,2,1,1,2]"
|java+method:///smallsql/database/MemoryResult/first()|,"[4,3,1,1,1,1]"
|java+method:///smallsql/junit/TestExceptionMethods/testDuplicatedColumnInsert()|,"[15,12,3,1,2,5]"
|java+method:///smallsql/database/SortedResult/isLast()|,"[11,8,3,1,1,3]"
|java+method:///smallsql/database/MemoryResult/getRow()|,"[3,2,1,1,0,1]"
|java+method:///smallsql/database/Scrollable/getRowPosition()|,"[3,2,1,1,0,1]"
|java+method:///smallsql/database/SSCallableStatement/getClob(java.lang.String)|,"[3,2,1,1,0,1]"
|java+method:///smallsql/junit/TestOperatoren/tearDown()|,"[10,7,3,1,2,3]"
"|java+method:///smallsql/database/SSPreparedStatement/setBytes(int,byte%5B%5D)|","[4,3,1,2,0,1]"
|java+method:///smallsql/database/SSDatabaseMetaData/supportsLimitedOuterJoins()|,"[3,2,1,1,0,1]"
|java+method:///smallsql/database/SSConnection/setReadOnly(boolean)|,"[3,1,2,1,0,1]"
|java+method:///smallsql/database/ExpressionFunctionReturnString/getNumeric()|,"[4,3,1,1,0,1]"
|java+method:///smallsql/junit/TestTransactions/testReadSerialized()|,"[33,25,8,1,4,5]"
|java+method:///smallsql/database/NoFromResult/isFirst()|,"[3,2,1,1,0,1]"
|java+method:///smallsql/database/ExpressionFunctionASin/getDouble()|,"[4,3,1,1,0,1]"
"|java+method:///smallsql/database/DateTime/formatNumber(int,int,java.lang.StringBuffer)|","[8,6,2,3,1,2]"
|java+method:///smallsql/database/SQLTokenizer/getSQLDataType(int)|,"[63,60,3,1,0,2]"
|java+method:///smallsql/database/ColumnExpression/getScale()|,"[3,2,1,1,0,1]"
|java+method:///smallsql/junit/TestThreads/testConcurrentThreadWrite()|,"[50,28,22,1,10,10]"
|java+method:///smallsql/database/Distinct/afterLast()|,"[4,3,1,1,1,1]"
|java+method:///smallsql/database/ExpressionFunctionIIF/getFloat()|,"[5,4,1,1,0,1]"
|java+method:///smallsql/database/ExpressionFunctionIIF/getFunction()|,"[3,2,1,1,0,1]"
|java+method:///smallsql/database/Distinct/rowInserted()|,"[3,2,1,1,0,1]"
"|java+method:///smallsql/database/SSCallableStatement/getDate(java.lang.String,java.util.Calendar)|","[3,2,1,2,0,1]"
|java+method:///smallsql/database/ExpressionFunctionSpace/getFunction()|,"[3,2,1,1,0,1]"
|java+method:///smallsql/database/ExpressionFunctionSubstring/isNull()|,"[3,2,1,1,0,1]"
|java+method:///smallsql/database/Scrollable/isBeforeFirst()|,"[3,2,1,1,0,1]"
|java+method:///smallsql/database/SSConnection/rollback()|,"[14,11,3,1,3,3]"
|java+method:///smallsql/database/MemoryResult/isNull(int)|,"[3,2,1,1,0,1]"
"|java+method:///smallsql/database/Utils/openRaFile(java.io.File,boolean)|","[29,13,16,3,3,6]"
|java+method:///smallsql/database/ExpressionFunctionAscii/isNull()|,"[3,2,1,1,0,1]"
|java+method:///smallsql/database/SSResultSet/getDate(java.lang.String)|,"[3,2,1,1,0,1]"
|java+method:///smallsql/database/Where/previous()|,"[8,7,1,1,2,2]"
|java+method:///smallsql/junit/TestGroupBy/testMaxTime()|,"[4,3,1,1,0,2]"
|java+method:///smallsql/database/RowSource/setRowPosition(long)|,"[5,1,4,1,0,0]"
|java+method:///smallsql/database/SSResultSetMetaData/getColumnIdx(int)|,"[5,4,1,1,0,1]"
|java+method:///smallsql/database/SSConnection/getMonitor()|,"[8,2,6,1,0,1]"
|java+method:///smallsql/database/TableResult/noRow()|,"[5,4,1,1,2,1]"
|java+method:///smallsql/database/SSCallableStatement/getLong(java.lang.String)|,"[3,2,1,1,0,1]"
|java+method:///smallsql/database/Expression/isAutoIncrement()|,"[3,2,1,1,0,1]"
|java+method:///smallsql/database/ExpressionFunctionAbs/getBoolean()|,"[3,2,1,1,0,1]"
"|java+method:///smallsql/database/CommandSelect/updateRow(smallsql.database.SSConnection,smallsql.database.Expression%5B%5D)|","[40,28,12,2,12,9]"
|java+constructor:///smallsql/database/MutableDouble/MutableDouble(double)|,"[3,2,1,1,1,1]"
|java+method:///smallsql/database/ExpressionFunctionCase/getFloat()|,"[3,2,1,1,0,1]"
|java+method:///smallsql/database/StoreImpl/setCurrentOffsetInPage(int)|,"[3,2,1,1,1,1]"
|java+method:///smallsql/database/DateTime/addDateTimeOffset(long)|,"[3,2,1,1,0,1]"
|java+method:///smallsql/database/ExpressionFunctionCase/getFunction()|,"[3,2,1,1,0,1]"
|java+method:///smallsql/database/ViewResult/getBytes(int)|,"[3,2,1,1,0,1]"
|java+method:///smallsql/database/ExpressionFunctionReturnInt/getObject()|,"[4,3,1,1,0,1]"
|java+method:///smallsql/database/Index/doubleToBinarySortOrder(double)|,"[6,5,1,1,1,1]"
|java+method:///smallsql/database/SSPreparedStatement/getParameterMetaData()|,"[5,2,3,1,0,1]"
|java+method:///smallsql/database/SSDatabaseMetaData/getNumericFunctions()|,"[3,2,1,1,0,1]"
|java+method:///smallsql/database/SSDatabaseMetaData/storesMixedCaseIdentifiers()|,"[3,2,1,1,0,1]"
|java+method:///smallsql/database/SSConnection/releaseSavepoint(java.sql.Savepoint)|,"[7,5,2,1,1,3]"
|java+method:///smallsql/database/SSResultSet/last()|,"[8,6,2,1,0,3]"
|java+method:///smallsql/database/ExpressionName/getMoney()|,"[3,2,1,1,0,1]"
|java+method:///smallsql/junit/BasicTestCase/string2boolean(java.lang.String)|,"[9,5,4,1,0,3]"
|java+method:///smallsql/database/Distinct/nullRow()|,"[4,3,1,1,1,1]"
|java+method:///smallsql/junit/TestGroupBy/testMaxDate()|,"[4,3,1,1,0,2]"
|java+method:///smallsql/database/ExpressionFunctionReturnP1StringAndBinary/getNumeric()|,"[4,3,1,1,0,1]"
"|java+method:///smallsql/database/SSStatement/executeUpdate(java.lang.String,int)|","[4,3,1,2,0,1]"
|java+method:///smallsql/junit/TestJoins/clear()|,"[6,5,1,1,1,1]"
|java+method:///smallsql/junit/TestOrderBy/testOrderBy_varchar()|,"[25,19,6,1,8,2]"
|java+method:///smallsql/database/IndexNodeScrollStatus/afterLast()|,"[3,2,1,1,1,1]"
|java+constructor:///smallsql/database/LongLongList/LongLongList()|,"[3,2,1,1,0,1]"
"|java+method:///smallsql/database/SQLParser/getErrorString(smallsql.database.SQLToken,java.lang.String,java.lang.Object)|","[50,6,44,3,2,2]"
|java+method:///smallsql/database/MemoryResult/beforeFirst()|,"[4,3,1,1,2,1]"
|java+method:///smallsql/database/Utils/string2boolean(java.lang.String)|,"[6,5,1,1,0,3]"
|java+method:///smallsql/database/ExpressionFunctionRTrim/getBytes()|,"[11,9,2,1,3,2]"
|java+method:///smallsql/database/RowSource/first()|,"[5,1,4,1,0,0]"
"|java+method:///smallsql/database/ExpressionValue/set(java.lang.Object,int)|","[55,46,9,2,17,3]"
|java+method:///smallsql/database/ExpressionValue/getMoney()|,"[3,2,1,1,0,1]"
|java+method:///smallsql/database/SSStatement/setNeedGeneratedKeys(int)|,"[11,9,2,1,1,2]"
|java+method:///smallsql/database/LongTreeList/getSize()|,"[3,2,1,1,0,1]"
|java+method:///smallsql/database/Scrollable/isAfterLast()|,"[9,7,2,1,0,2]"
|java+method:///smallsql/database/SSDatabaseMetaData/supportsTransactionIsolationLevel(int)|,"[11,9,2,1,0,2]"
|java+method:///smallsql/database/DataSource/getNumeric(int)|,"[1,1,0,1,0,0]"
|java+method:///smallsql/database/ExpressionFunctionTimestampDiff/getDataType()|,"[3,2,1,1,0,1]"
|java+method:///smallsql/database/SSDatabaseMetaData/supportsCatalogsInIndexDefinitions()|,"[3,2,1,1,0,1]"
"|java+method:///smallsql/database/StoreImpl/updateFinsh(smallsql.database.SSConnection,smallsql.database.StoreImpl)|","[40,26,14,2,14,7]"
|java+method:///smallsql/database/DataSource/getObject(int)|,"[1,1,0,1,0,0]"
|java+method:///smallsql/database/ExpressionFunctionRound/getDouble()|,"[24,19,5,1,10,7]"
|java+method:///smallsql/junit/TestStatement/testBatchUpate()|,"[24,19,5,1,4,5]"
|java+constructor:///smallsql/database/MemoryResult/MemoryResult()|,"[4,1,3,1,0,1]"
|java+method:///smallsql/database/SSDatabaseMetaData/supportsGetGeneratedKeys()|,"[3,2,1,1,0,1]"
|java+constructor:///smallsql/database/ExpressionFunctionCase/ExpressionFunctionCase()|,"[6,2,4,1,0,1]"
|java+method:///smallsql/database/NoFromResult/isBeforeFirst()|,"[3,2,1,1,0,1]"
|java+method:///smallsql/database/SSResultSetMetaData/isCaseSensitive(int)|,"[3,2,1,1,0,1]"
"|java+method:///smallsql/database/ExpressionName/setFrom(smallsql.database.DataSource,int,smallsql.database.Column)|","[9,4,5,3,3,1]"
"|java+method:///smallsql/database/ExpressionFunction/setParamAt(smallsql.database.Expression,int)|","[17,15,2,2,4,2]"
|java+method:///smallsql/database/ExpressionFunctionDegrees/getFunction()|,"[1,1,0,1,0,1]"
|java+method:///smallsql/database/SSDatabaseMetaData/supportsOrderByUnrelated()|,"[3,2,1,1,0,1]"
|java+method:///smallsql/database/MemoryResult/setRowPosition(long)|,"[4,3,1,1,1,1]"
|java+method:///smallsql/database/SSDatabaseMetaData/supportsOpenCursorsAcrossCommit()|,"[3,2,1,1,0,1]"
|java+method:///smallsql/junit/TestGroupBy/testSumInt()|,"[4,3,1,1,0,1]"
|java+method:///smallsql/database/IndexNode/saveRef(smallsql.database.StoreImpl)|,"[3,1,2,1,0,1]"
